 time            v(vo)          
 0.00000000e+00  2.50926703e-01 
 1.00000000e-13  2.50926716e-01 
 2.00000000e-13  2.50926735e-01 
 4.00000000e-13  2.50926776e-01 
 8.00000000e-13  2.50926869e-01 
 1.60000000e-12  2.50927088e-01 
 3.20000000e-12  2.50927407e-01 
 6.40000000e-12  2.50927138e-01 
 1.00000000e-11  2.50925840e-01 
 1.04089348e-11  2.50925615e-01 
 1.12268044e-11  2.50925135e-01 
 1.28625435e-11  2.50924135e-01 
 1.61340219e-11  2.50922349e-01 
 2.26769785e-11  2.50919482e-01 
 3.57628918e-11  2.50915354e-01 
 5.71268959e-11  2.50914152e-01 
 8.01060489e-11  2.50917229e-01 
 1.12682437e-10  2.50920802e-01 
 1.51393230e-10  2.50923580e-01 
 2.17472861e-10  2.50928319e-01 
 3.02116412e-10  2.50938047e-01 
 4.62569900e-10  2.50968041e-01 
 6.13519218e-10  2.51001230e-01 
 8.97551456e-10  2.51057770e-01 
 1.29876435e-09  2.51244881e-01 
 2.10119015e-09  2.52327658e-01 
 3.07508188e-09  2.54650613e-01 
 4.82753427e-09  2.60733268e-01 
 8.33243904e-09  2.88147494e-01 
 1.53422486e-08  4.02307711e-01 
 2.37977652e-08  5.16802021e-01 
 3.31059987e-08  5.57189939e-01 
 4.82426015e-08  5.84302863e-01 
 6.42992737e-08  5.95181358e-01 
 9.64126182e-08  6.02834303e-01 
 1.57689222e-07  6.06713021e-01 
 2.69789614e-07  6.11831380e-01 
 4.93990400e-07  6.22665450e-01 
 5.00010000e-07  6.22940719e-01 
 5.00011000e-07  6.22940586e-01 
 5.00013000e-07  6.22940239e-01 
 5.00017000e-07  6.22939356e-01 
 5.00020000e-07  6.22938720e-01 
 5.00020800e-07  6.22938752e-01 
 5.00022400e-07  6.22938928e-01 
 5.00025600e-07  6.22939700e-01 
 5.00032000e-07  6.22941728e-01 
 5.00044800e-07  6.22944846e-01 
 5.00070400e-07  6.22947317e-01 
 5.00117371e-07  6.22948447e-01 
 5.00211313e-07  6.22940295e-01 
 5.00339427e-07  6.22822172e-01 
 5.00438630e-07  6.22702299e-01 
 5.00543575e-07  6.22686074e-01 
 5.00710321e-07  6.22701918e-01 
 5.00862281e-07  6.22697078e-01 
 5.01130436e-07  6.22705722e-01 
 5.01442873e-07  6.22702180e-01 
 5.01890009e-07  6.22706721e-01 
 5.02554847e-07  6.22703104e-01 
 5.03611300e-07  6.22706527e-01 
 5.05333929e-07  6.22703229e-01 
 5.08147297e-07  6.22706429e-01 
 5.13520219e-07  6.22703265e-01 
 5.24208012e-07  6.22706397e-01 
 5.45583599e-07  6.22703274e-01 
 5.88334772e-07  6.22706390e-01 
 6.73837118e-07  6.22703274e-01 
 8.44841811e-07  6.22706383e-01 
 1.00000000e-06  6.22703268e-01 
 1.00000100e-06  6.22703649e-01 
 1.00000300e-06  6.22704322e-01 
 1.00000700e-06  6.22704405e-01 
 1.00001000e-06  6.22703271e-01 
 1.00001051e-06  6.22702951e-01 
 1.00001153e-06  6.22702257e-01 
 1.00001357e-06  6.22700773e-01 
 1.00001765e-06  6.22698269e-01 
 1.00002580e-06  6.22695977e-01 
 1.00004211e-06  6.22697290e-01 
