# Logfile created on 2026-02-11 04:33:12 +0100 by logger.rb/v1.4.3
2026-02-11 04:33:12 +0100: Memory Usage (428032K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/IHP-AnalogAcademy/modules/module_3_8_bit_SAR_ADC/part_5_analog_layout/CDAC/layout/Cunit.gds
2026-02-11 04:33:12 +0100: Memory Usage (428032K) : Ruby Version for klayout: 3.0.2
2026-02-11 04:33:12 +0100: Memory Usage (429184K) : Loading database to memory is complete.
2026-02-11 04:33:12 +0100: Memory Usage (429184K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/IHP-AnalogAcademy/modules/module_3_8_bit_SAR_ADC/part_5_analog_layout/CDAC/layout/drc_run_Cunit/Cunit_Cunit_main.lyrdb
2026-02-11 04:33:12 +0100: Memory Usage (429312K) : Evaluate switches.
2026-02-11 04:33:12 +0100: Memory Usage (429312K) : tables selected: main
2026-02-11 04:33:12 +0100: Memory Usage (429312K) : KLayout will use 1 thread(s) in tiling mode.
2026-02-11 04:33:12 +0100: Memory Usage (429312K) : deep mode is enabled.
2026-02-11 04:33:12 +0100: Memory Usage (429312K) : FEOL enabled: true
2026-02-11 04:33:12 +0100: Memory Usage (429312K) : BEOL enabled: true
2026-02-11 04:33:12 +0100: Memory Usage (429312K) : OFFGRID enabled: true
2026-02-11 04:33:12 +0100: Memory Usage (429312K) : PIN enabled: true
2026-02-11 04:33:12 +0100: Memory Usage (429312K) : FORBIDDEN enabled: true
2026-02-11 04:33:12 +0100: Memory Usage (429312K) : RECOMMENDED enabled: false
2026-02-11 04:33:12 +0100: Memory Usage (429312K) : PreCheck DRC enabled: false
2026-02-11 04:33:12 +0100: Memory Usage (429312K) : CONNECTIVITY_RULES enabled: true.
2026-02-11 04:33:12 +0100: Memory Usage (429312K) : Read in polygons from layers.
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : activ_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : activ_pin has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : activ_mask has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : activ_filler has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : activ_nofill has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : activ_opc has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : activ_iopc has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : activ_noqrc has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : biwind_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : biwind_opc has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : pemwind_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : gatpoly_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : gatpoly_pin has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : gatpoly_filler has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : gatpoly_nofill has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : gatpoly_opc has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : gatpoly_iopc has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : gatpoly_noqrc has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : cont_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : cont_opc has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : nsd_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : nsd_block has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : metal1_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429696K) : metal1_pin has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429824K) : metal1_mask has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429824K) : metal1_filler has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429824K) : metal1_nofill has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429824K) : metal1_slit has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (429952K) : metal1_text has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430208K) : metal1_opc has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430208K) : metal1_noqrc has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430208K) : metal1_res has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430208K) : metal1_iprobe has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430208K) : metal1_diffprb has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430208K) : passiv_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430208K) : passiv_pin has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430336K) : passiv_sbump has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430336K) : passiv_pillar has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430336K) : passiv_pdl has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430464K) : metal2_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430464K) : metal2_pin has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430464K) : metal2_mask has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430592K) : metal2_filler has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430592K) : metal2_nofill has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430592K) : metal2_slit has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430720K) : metal2_text has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430720K) : metal2_opc has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430720K) : metal2_noqrc has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430720K) : metal2_res has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430848K) : metal2_iprobe has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430848K) : metal2_diffprb has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430848K) : baspoly_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430976K) : baspoly_pin has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430976K) : psd_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (430976K) : nldb_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431104K) : digibnd_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431104K) : via1_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431104K) : backmetal1_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431232K) : backmetal1_pin has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431232K) : backmetal1_mask has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431232K) : backmetal1_filler has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431360K) : backmetal1_nofill has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431360K) : backmetal1_slit has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431360K) : backmetal1_text has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431360K) : backmetal1_opc has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431488K) : backmetal1_noqrc has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431488K) : backmetal1_res has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431488K) : backmetal1_iprobe has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431616K) : backmetal1_diffprb has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431616K) : backpassiv_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431616K) : res_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431744K) : sram_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431744K) : trans_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431744K) : ind_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431872K) : ind_pin has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431872K) : ind_text has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (431872K) : salblock_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432000K) : via2_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432000K) : metal3_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432000K) : metal3_pin has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432128K) : metal3_mask has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432128K) : metal3_filler has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432128K) : metal3_nofill has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432256K) : metal3_slit has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432256K) : metal3_text has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432256K) : metal3_opc has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432384K) : metal3_noqrc has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432384K) : metal3_res has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432384K) : metal3_iprobe has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432512K) : metal3_diffprb has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432512K) : nwell_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432512K) : nwell_pin has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432512K) : nbulay_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432640K) : nbulay_pin has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432640K) : nbulay_block has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432640K) : emwind_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432640K) : emwind_opc has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432640K) : deepco_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (432768K) : deepco_drw has 0 polygons
2026-02-11 04:33:12 +0100: Memory Usage (433024K) : mim_drw has 1 polygons
2026-02-11 04:33:12 +0100: Memory Usage (433024K) : edgeseal_drw has 0 polygons
