# Logfile created on 2026-02-28 16:27:38 +0100 by logger.rb/v1.4.3
2026-02-28 16:27:38 +0100: Memory Usage (428172K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/IHP-AnalogAcademy/modules/module_3_8_bit_SAR_ADC/part_5_analog_layout/sar_logic/sar_logic.gds
2026-02-28 16:27:38 +0100: Memory Usage (428172K) : Ruby Version for klayout: 3.0.2
2026-02-28 16:27:38 +0100: Memory Usage (429452K) : Loading database to memory is complete.
2026-02-28 16:27:38 +0100: Memory Usage (429452K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/IHP-AnalogAcademy/modules/module_3_8_bit_SAR_ADC/part_5_analog_layout/sar_logic/drc_run_sar_logic/sar_logic_sar_logic_main.lyrdb
2026-02-28 16:27:38 +0100: Memory Usage (429452K) : Evaluate switches.
2026-02-28 16:27:38 +0100: Memory Usage (429452K) : tables selected: main
2026-02-28 16:27:38 +0100: Memory Usage (429452K) : KLayout will use 1 thread(s) in tiling mode.
2026-02-28 16:27:38 +0100: Memory Usage (429452K) : deep mode is enabled.
2026-02-28 16:27:38 +0100: Memory Usage (429452K) : FEOL enabled: true
2026-02-28 16:27:38 +0100: Memory Usage (429452K) : BEOL enabled: true
2026-02-28 16:27:38 +0100: Memory Usage (429452K) : OFFGRID enabled: true
2026-02-28 16:27:38 +0100: Memory Usage (429452K) : PIN enabled: true
2026-02-28 16:27:38 +0100: Memory Usage (429452K) : FORBIDDEN enabled: true
2026-02-28 16:27:38 +0100: Memory Usage (429452K) : RECOMMENDED enabled: false
2026-02-28 16:27:38 +0100: Memory Usage (429452K) : PreCheck DRC enabled: false
2026-02-28 16:27:38 +0100: Memory Usage (429452K) : CONNECTIVITY_RULES enabled: true.
2026-02-28 16:27:38 +0100: Memory Usage (429452K) : Read in polygons from layers.
2026-02-28 16:27:38 +0100: Memory Usage (430604K) : activ_drw has 2187 polygons
2026-02-28 16:27:38 +0100: Memory Usage (430604K) : activ_pin has 0 polygons
2026-02-28 16:27:38 +0100: Memory Usage (430604K) : activ_mask has 0 polygons
2026-02-28 16:27:38 +0100: Memory Usage (430604K) : activ_filler has 0 polygons
2026-02-28 16:27:38 +0100: Memory Usage (430604K) : activ_nofill has 0 polygons
2026-02-28 16:27:38 +0100: Memory Usage (430604K) : activ_opc has 0 polygons
2026-02-28 16:27:38 +0100: Memory Usage (430604K) : activ_iopc has 0 polygons
2026-02-28 16:27:38 +0100: Memory Usage (430604K) : activ_noqrc has 0 polygons
2026-02-28 16:27:38 +0100: Memory Usage (430604K) : biwind_drw has 0 polygons
