# Logfile created on 2026-02-12 15:26:15 +0100 by logger.rb/v1.4.3
2026-02-12 15:26:15 +0100: Memory Usage (429296K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/IHP-AnalogAcademy/modules/module_3_8_bit_SAR_ADC/part_5_analog_layout/switch_array/layout/T_gate.gds
2026-02-12 15:26:15 +0100: Memory Usage (429296K) : Ruby Version for klayout: 3.0.2
2026-02-12 15:26:15 +0100: Memory Usage (430576K) : Loading database to memory is complete.
2026-02-12 15:26:15 +0100: Memory Usage (430576K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/IHP-AnalogAcademy/modules/module_3_8_bit_SAR_ADC/part_5_analog_layout/switch_array/layout/drc_run_T_gate/T_gate_T_gate_main.lyrdb
2026-02-12 15:26:15 +0100: Memory Usage (430576K) : Evaluate switches.
2026-02-12 15:26:15 +0100: Memory Usage (430576K) : tables selected: main
2026-02-12 15:26:15 +0100: Memory Usage (430576K) : KLayout will use 1 thread(s) in tiling mode.
2026-02-12 15:26:15 +0100: Memory Usage (430576K) : deep mode is enabled.
2026-02-12 15:26:15 +0100: Memory Usage (430576K) : FEOL enabled: true
2026-02-12 15:26:15 +0100: Memory Usage (430576K) : BEOL enabled: true
2026-02-12 15:26:15 +0100: Memory Usage (430576K) : OFFGRID enabled: true
2026-02-12 15:26:15 +0100: Memory Usage (430576K) : PIN enabled: true
2026-02-12 15:26:15 +0100: Memory Usage (430576K) : FORBIDDEN enabled: true
2026-02-12 15:26:15 +0100: Memory Usage (430576K) : RECOMMENDED enabled: true
2026-02-12 15:26:15 +0100: Memory Usage (430576K) : PreCheck DRC enabled: false
2026-02-12 15:26:15 +0100: Memory Usage (430576K) : CONNECTIVITY_RULES enabled: true.
2026-02-12 15:26:15 +0100: Memory Usage (430576K) : Read in polygons from layers.
2026-02-12 15:26:15 +0100: Memory Usage (431344K) : activ_drw has 8 polygons
2026-02-12 15:26:15 +0100: Memory Usage (431344K) : activ_pin has 0 polygons
2026-02-12 15:26:15 +0100: Memory Usage (431344K) : activ_mask has 0 polygons
2026-02-12 15:26:15 +0100: Memory Usage (431344K) : activ_filler has 0 polygons
2026-02-12 15:26:15 +0100: Memory Usage (431344K) : activ_nofill has 0 polygons
2026-02-12 15:26:15 +0100: Memory Usage (431344K) : activ_opc has 0 polygons
2026-02-12 15:26:15 +0100: Memory Usage (431344K) : activ_iopc has 0 polygons
2026-02-12 15:26:15 +0100: Memory Usage (431344K) : activ_noqrc has 0 polygons
2026-02-12 15:26:15 +0100: Memory Usage (431344K) : biwind_drw has 0 polygons
2026-02-12 15:26:15 +0100: Memory Usage (431344K) : biwind_opc has 0 polygons
2026-02-12 15:26:15 +0100: Memory Usage (431344K) : pemwind_drw has 0 polygons
2026-02-12 15:26:15 +0100: Memory Usage (431344K) : gatpoly_drw has 7 polygons
2026-02-12 15:26:15 +0100: Memory Usage (431344K) : gatpoly_pin has 1 polygons
2026-02-12 15:26:15 +0100: Memory Usage (431344K) : gatpoly_filler has 0 polygons
2026-02-12 15:26:15 +0100: Memory Usage (431344K) : gatpoly_nofill has 0 polygons
2026-02-12 15:26:15 +0100: Memory Usage (431344K) : gatpoly_opc has 0 polygons
2026-02-12 15:26:15 +0100: Memory Usage (431344K) : gatpoly_iopc has 0 polygons
2026-02-12 15:26:15 +0100: Memory Usage (431344K) : gatpoly_noqrc has 0 polygons
2026-02-12 15:26:15 +0100: Memory Usage (431344K) : cont_drw has 27 polygons
2026-02-12 15:26:15 +0100: Memory Usage (431344K) : cont_opc has 0 polygons
