# Logfile created on 2026-02-13 10:56:16 +0100 by logger.rb/v1.4.3
2026-02-13 10:56:16 +0100: Memory Usage (428008K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/IHP-AnalogAcademy/modules/module_3_8_bit_SAR_ADC/part_5_analog_layout/switch_array/layout/T_gate_switch.gds
2026-02-13 10:56:16 +0100: Memory Usage (428008K) : Ruby Version for klayout: 3.0.2
2026-02-13 10:56:16 +0100: Memory Usage (429160K) : Loading database to memory is complete.
2026-02-13 10:56:16 +0100: Memory Usage (429160K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/IHP-AnalogAcademy/modules/module_3_8_bit_SAR_ADC/part_5_analog_layout/switch_array/layout/drc_run_T_gate_switch/T_gate_switch_T_gate_switch_main.lyrdb
2026-02-13 10:56:16 +0100: Memory Usage (429288K) : Evaluate switches.
2026-02-13 10:56:16 +0100: Memory Usage (429288K) : tables selected: main
2026-02-13 10:56:16 +0100: Memory Usage (429288K) : KLayout will use 1 thread(s) in tiling mode.
2026-02-13 10:56:16 +0100: Memory Usage (429288K) : deep mode is enabled.
2026-02-13 10:56:16 +0100: Memory Usage (429288K) : FEOL enabled: true
2026-02-13 10:56:16 +0100: Memory Usage (429288K) : BEOL enabled: true
2026-02-13 10:56:16 +0100: Memory Usage (429288K) : OFFGRID enabled: true
2026-02-13 10:56:16 +0100: Memory Usage (429288K) : PIN enabled: true
2026-02-13 10:56:16 +0100: Memory Usage (429288K) : FORBIDDEN enabled: true
2026-02-13 10:56:16 +0100: Memory Usage (429288K) : RECOMMENDED enabled: true
2026-02-13 10:56:16 +0100: Memory Usage (429288K) : PreCheck DRC enabled: false
2026-02-13 10:56:16 +0100: Memory Usage (429288K) : CONNECTIVITY_RULES enabled: true.
2026-02-13 10:56:16 +0100: Memory Usage (429288K) : Read in polygons from layers.
2026-02-13 10:56:16 +0100: Memory Usage (429928K) : activ_drw has 24 polygons
2026-02-13 10:56:16 +0100: Memory Usage (429928K) : activ_pin has 0 polygons
2026-02-13 10:56:16 +0100: Memory Usage (429928K) : activ_mask has 0 polygons
2026-02-13 10:56:16 +0100: Memory Usage (429928K) : activ_filler has 0 polygons
2026-02-13 10:56:16 +0100: Memory Usage (429928K) : activ_nofill has 0 polygons
2026-02-13 10:56:16 +0100: Memory Usage (429928K) : activ_opc has 0 polygons
2026-02-13 10:56:16 +0100: Memory Usage (429928K) : activ_iopc has 0 polygons
2026-02-13 10:56:16 +0100: Memory Usage (429928K) : activ_noqrc has 0 polygons
2026-02-13 10:56:16 +0100: Memory Usage (429928K) : biwind_drw has 0 polygons
2026-02-13 10:56:16 +0100: Memory Usage (429928K) : biwind_opc has 0 polygons
2026-02-13 10:56:17 +0100: Memory Usage (429928K) : pemwind_drw has 0 polygons
2026-02-13 10:56:17 +0100: Memory Usage (429928K) : gatpoly_drw has 19 polygons
