# Logfile created on 2026-02-23 08:51:44 +0100 by logger.rb/v1.4.3
2026-02-23 08:51:44 +0100: Memory Usage (428744K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/IHP-AnalogAcademy/modules/module_3_8_bit_SAR_ADC/part_5_analog_layout/switch_array/layout/inverter.gds
2026-02-23 08:51:44 +0100: Memory Usage (428744K) : Ruby Version for klayout: 3.0.2
2026-02-23 08:51:44 +0100: Memory Usage (429640K) : Loading database to memory is complete.
2026-02-23 08:51:44 +0100: Memory Usage (429640K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/IHP-AnalogAcademy/modules/module_3_8_bit_SAR_ADC/part_5_analog_layout/switch_array/layout/drc_run_inverter/inverter_inverter_main.lyrdb
2026-02-23 08:51:44 +0100: Memory Usage (429640K) : Evaluate switches.
2026-02-23 08:51:44 +0100: Memory Usage (429640K) : tables selected: main
2026-02-23 08:51:44 +0100: Memory Usage (429640K) : KLayout will use 1 thread(s) in tiling mode.
2026-02-23 08:51:44 +0100: Memory Usage (429640K) : deep mode is enabled.
2026-02-23 08:51:44 +0100: Memory Usage (429640K) : FEOL enabled: true
2026-02-23 08:51:44 +0100: Memory Usage (429640K) : BEOL enabled: true
2026-02-23 08:51:44 +0100: Memory Usage (429640K) : OFFGRID enabled: true
2026-02-23 08:51:44 +0100: Memory Usage (429640K) : PIN enabled: true
2026-02-23 08:51:44 +0100: Memory Usage (429640K) : FORBIDDEN enabled: true
2026-02-23 08:51:44 +0100: Memory Usage (429640K) : RECOMMENDED enabled: false
2026-02-23 08:51:44 +0100: Memory Usage (429640K) : PreCheck DRC enabled: false
2026-02-23 08:51:44 +0100: Memory Usage (429640K) : CONNECTIVITY_RULES enabled: true.
2026-02-23 08:51:44 +0100: Memory Usage (429640K) : Read in polygons from layers.
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : activ_drw has 8 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : activ_pin has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : activ_mask has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : activ_filler has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : activ_nofill has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : activ_opc has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : activ_iopc has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : activ_noqrc has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : biwind_drw has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : biwind_opc has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : pemwind_drw has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : gatpoly_drw has 5 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : gatpoly_pin has 1 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : gatpoly_filler has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : gatpoly_nofill has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : gatpoly_opc has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : gatpoly_iopc has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : gatpoly_noqrc has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : cont_drw has 13 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : cont_opc has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : nsd_drw has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : nsd_block has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : metal1_drw has 15 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : metal1_pin has 6 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430408K) : metal1_mask has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430536K) : metal1_filler has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430536K) : metal1_nofill has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430536K) : metal1_slit has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430792K) : metal1_text has 4 polygons
2026-02-23 08:51:44 +0100: Memory Usage (430792K) : metal1_opc has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431048K) : metal1_noqrc has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431048K) : metal1_res has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431048K) : metal1_iprobe has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431048K) : metal1_diffprb has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431048K) : passiv_drw has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431048K) : passiv_pin has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431048K) : passiv_sbump has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431176K) : passiv_pillar has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431176K) : passiv_pdl has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431176K) : metal2_drw has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431304K) : metal2_pin has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431304K) : metal2_mask has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431304K) : metal2_filler has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431432K) : metal2_nofill has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431432K) : metal2_slit has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431432K) : metal2_text has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431560K) : metal2_opc has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431560K) : metal2_noqrc has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431560K) : metal2_res has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431560K) : metal2_iprobe has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431688K) : metal2_diffprb has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431688K) : baspoly_drw has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431688K) : baspoly_pin has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431816K) : psd_drw has 2 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431816K) : nldb_drw has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431816K) : digibnd_drw has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431944K) : via1_drw has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431944K) : backmetal1_drw has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (431944K) : backmetal1_pin has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (432072K) : backmetal1_mask has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (432072K) : backmetal1_filler has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (432072K) : backmetal1_nofill has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (432200K) : backmetal1_slit has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (432200K) : backmetal1_text has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (432200K) : backmetal1_opc has 0 polygons
2026-02-23 08:51:44 +0100: Memory Usage (432328K) : backmetal1_noqrc has 0 polygons
