# Logfile created on 2026-03-02 08:33:49 +0100 by logger.rb/v1.4.3
2026-03-02 08:33:49 +0100: Memory Usage (427764K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/IHP-AnalogAcademy/modules/module_3_8_bit_SAR_ADC/part_5_analog_layout/bootstrap/layout/bootstrap_switch.gds
2026-03-02 08:33:49 +0100: Memory Usage (427764K) : Ruby Version for klayout: 3.0.2
2026-03-02 08:33:49 +0100: Memory Usage (429044K) : Loading database to memory is complete.
2026-03-02 08:33:49 +0100: Memory Usage (429044K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/IHP-AnalogAcademy/modules/module_3_8_bit_SAR_ADC/part_5_analog_layout/bootstrap/layout/drc_run_bootstrap_switch/bootstrap_switch_bootstrap_switch_main.lyrdb
2026-03-02 08:33:49 +0100: Memory Usage (429172K) : Evaluate switches.
2026-03-02 08:33:49 +0100: Memory Usage (429172K) : tables selected: main
2026-03-02 08:33:49 +0100: Memory Usage (429172K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-02 08:33:49 +0100: Memory Usage (429172K) : deep mode is enabled.
2026-03-02 08:33:49 +0100: Memory Usage (429172K) : FEOL enabled: true
2026-03-02 08:33:49 +0100: Memory Usage (429172K) : BEOL enabled: true
2026-03-02 08:33:49 +0100: Memory Usage (429172K) : OFFGRID enabled: true
2026-03-02 08:33:49 +0100: Memory Usage (429172K) : PIN enabled: true
2026-03-02 08:33:49 +0100: Memory Usage (429172K) : FORBIDDEN enabled: true
2026-03-02 08:33:49 +0100: Memory Usage (429172K) : RECOMMENDED enabled: true
2026-03-02 08:33:49 +0100: Memory Usage (429172K) : PreCheck DRC enabled: false
2026-03-02 08:33:49 +0100: Memory Usage (429172K) : CONNECTIVITY_RULES enabled: true.
2026-03-02 08:33:49 +0100: Memory Usage (429172K) : Read in polygons from layers.
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : activ_drw has 75 polygons
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : activ_pin has 0 polygons
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : activ_mask has 0 polygons
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : activ_filler has 0 polygons
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : activ_nofill has 0 polygons
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : activ_opc has 0 polygons
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : activ_iopc has 0 polygons
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : activ_noqrc has 0 polygons
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : biwind_drw has 0 polygons
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : biwind_opc has 0 polygons
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : pemwind_drw has 0 polygons
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : gatpoly_drw has 52 polygons
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : gatpoly_pin has 13 polygons
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : gatpoly_filler has 0 polygons
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : gatpoly_nofill has 0 polygons
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : gatpoly_opc has 0 polygons
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : gatpoly_iopc has 0 polygons
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : gatpoly_noqrc has 0 polygons
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : cont_drw has 282 polygons
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : cont_opc has 0 polygons
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : nsd_drw has 0 polygons
2026-03-02 08:33:49 +0100: Memory Usage (429940K) : nsd_block has 0 polygons
2026-03-02 08:33:49 +0100: Memory Usage (430324K) : metal1_drw has 169 polygons
2026-03-02 08:33:49 +0100: Memory Usage (430324K) : metal1_pin has 30 polygons
2026-03-02 08:33:49 +0100: Memory Usage (430452K) : metal1_mask has 0 polygons
2026-03-02 08:33:49 +0100: Memory Usage (430452K) : metal1_filler has 0 polygons
