# Logfile created on 2026-02-26 12:26:46 +0100 by logger.rb/v1.4.3
2026-02-26 12:26:46 +0100: Memory Usage (429368K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/IHP-AnalogAcademy/modules/module_3_8_bit_SAR_ADC/part_5_analog_layout/bootstrap/layout/nand_gate.gds
2026-02-26 12:26:46 +0100: Memory Usage (429368K) : Ruby Version for klayout: 3.0.2
2026-02-26 12:26:46 +0100: Memory Usage (430520K) : Loading database to memory is complete.
2026-02-26 12:26:46 +0100: Memory Usage (430520K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/IHP-AnalogAcademy/modules/module_3_8_bit_SAR_ADC/part_5_analog_layout/bootstrap/layout/drc_run_nand_gate/nand_gate_nand_gate_main.lyrdb
2026-02-26 12:26:46 +0100: Memory Usage (430648K) : Evaluate switches.
2026-02-26 12:26:46 +0100: Memory Usage (430648K) : tables selected: main
2026-02-26 12:26:46 +0100: Memory Usage (430648K) : KLayout will use 1 thread(s) in tiling mode.
2026-02-26 12:26:46 +0100: Memory Usage (430648K) : deep mode is enabled.
2026-02-26 12:26:46 +0100: Memory Usage (430648K) : FEOL enabled: true
2026-02-26 12:26:46 +0100: Memory Usage (430648K) : BEOL enabled: true
2026-02-26 12:26:46 +0100: Memory Usage (430648K) : OFFGRID enabled: true
2026-02-26 12:26:46 +0100: Memory Usage (430648K) : PIN enabled: true
2026-02-26 12:26:46 +0100: Memory Usage (430648K) : FORBIDDEN enabled: true
2026-02-26 12:26:46 +0100: Memory Usage (430648K) : RECOMMENDED enabled: false
2026-02-26 12:26:46 +0100: Memory Usage (430648K) : PreCheck DRC enabled: false
2026-02-26 12:26:46 +0100: Memory Usage (430648K) : CONNECTIVITY_RULES enabled: true.
2026-02-26 12:26:46 +0100: Memory Usage (430648K) : Read in polygons from layers.
2026-02-26 12:26:46 +0100: Memory Usage (431416K) : activ_drw has 14 polygons
2026-02-26 12:26:46 +0100: Memory Usage (431416K) : activ_pin has 0 polygons
2026-02-26 12:26:46 +0100: Memory Usage (431416K) : activ_mask has 0 polygons
2026-02-26 12:26:46 +0100: Memory Usage (431416K) : activ_filler has 0 polygons
2026-02-26 12:26:46 +0100: Memory Usage (431416K) : activ_nofill has 0 polygons
2026-02-26 12:26:46 +0100: Memory Usage (431416K) : activ_opc has 0 polygons
2026-02-26 12:26:46 +0100: Memory Usage (431416K) : activ_iopc has 0 polygons
2026-02-26 12:26:46 +0100: Memory Usage (431416K) : activ_noqrc has 0 polygons
2026-02-26 12:26:46 +0100: Memory Usage (431416K) : biwind_drw has 0 polygons
2026-02-26 12:26:46 +0100: Memory Usage (431416K) : biwind_opc has 0 polygons
2026-02-26 12:26:46 +0100: Memory Usage (431416K) : pemwind_drw has 0 polygons
2026-02-26 12:26:46 +0100: Memory Usage (431416K) : gatpoly_drw has 12 polygons
2026-02-26 12:26:46 +0100: Memory Usage (431416K) : gatpoly_pin has 2 polygons
2026-02-26 12:26:46 +0100: Memory Usage (431416K) : gatpoly_filler has 0 polygons
2026-02-26 12:26:46 +0100: Memory Usage (431416K) : gatpoly_nofill has 0 polygons
