net,length_um
_088_,146.425µm
net35,145.94µm
_090_,138.56µm
_099_,134.66µm
net33,130.305µm
net37,115.505µm
net41,106.48µm
net42,105.245µm
net34,104.785µm
net39,101.37µm
net3,99.73µm
fclk_in,95.765µm
net12,95.405µm
net4,93.865µm
net32,93.065µm
net11,89.36µm
_098_,87.575µm
net29,85.025µm
net40,77.31µm
_096_,70.47µm
_079_,69.26µm
net13,63.66µm
net2,63.145µm
counter\[0\],63.105µm
net15,61.015µm
net16,60.535µm
net36,59.03µm
net1,56.505µm
net9,56.25µm
net18,51.92µm
net7,50.76µm
net20,50.315µm
net8,49.16µm
_087_,48.775µm
net10,48.08µm
_093_,47.18µm
net17,44.455µm
counter\[1\],44.28µm
net6,40.95µm
net48,40.94µm
net38,40.24µm
net24,39.07µm
net31,38.93µm
_077_,38.11µm
net14,38.035µm
net44,33.905µm
fdac_clk,33.62µm
net43,33.37µm
net19,31.56µm
_074_,30.015µm
net50,29.54µm
clknet_1_1__leaf_fclk_in_regs,28.45µm
clknet_0_fclk_in_regs,28.05µm
net46,27.95µm
_080_,27.28µm
net49,27.01µm
rst,25.56µm
En,24.96µm
net21,24.25µm
net27,24.2µm
_001_,24.13µm
_076_,23.86µm
clknet_1_0__leaf_fclk_in_regs,23.83µm
_069_,23.77µm
net26,23.335µm
counter\[2\],23.315µm
net5,22.92µm
_086_,22.72µm
counter\[3\],20.885µm
_089_,20.4µm
_066_,20.01µm
net30,19.56µm
_031_,18.66µm
fclk_comp,18.54µm
_081_,18.49µm
Om,18.36µm
net25,18.25µm
net23,18.115µm
_070_,17.72µm
Op,17.4µm
clk_algo,17.335µm
B[6],17.3µm
D[6],17.24µm
BN[6],17.1µm
D[0],16.76µm
D[1],16.76µm
D[2],16.76µm
D[3],16.76µm
D[4],16.76µm
D[5],16.76µm
D[7],16.76µm
_072_,16.68µm
cnt\[0\],16.27µm
fclk_samp,16.14µm
clknet_1_0__leaf_fclk_in,15.72µm
B[0],14.96µm
BN[0],14.76µm
_033_,14.66µm
_053_,14.11µm
net22,13.8µm
_028_,13.39µm
_000_,13.32µm
_082_,12.85µm
clknet_0_fclk_in,11.46µm
_063_,11.395µm
_073_,11.055µm
_032_,10.99µm
_050_,10.32µm
_065_,10.28µm
_064_,10.09µm
_060_,9.84µm
_040_,9.36µm
_054_,9.25µm
_097_,8.95µm
B[3],8.66µm
BN[3],8.46µm
B[2],8.24µm
cnt\[3\],8.17µm
net28,8.17µm
_062_,8.16µm
fclk_in_regs,8.16µm
_101_,8.1µm
BN[2],8.04µm
B[1],7.82µm
_083_,7.71µm
BN[1],7.62µm
_043_,7.57µm
_041_,7.51µm
_051_,7.14µm
_059_,7.05µm
B[4],6.93µm
B[5],6.93µm
BN[4],6.73µm
BN[5],6.73µm
_067_,6.72µm
_075_,6.67µm
_055_,6.49µm
_024_,6.3µm
_046_,6.18µm
_052_,6.07µm
_017_,6.02µm
_030_,5.865µm
_009_,5.82µm
_002_,5.77µm
cnt\[2\],5.71µm
net45,5.64µm
cnt\[1\],5.48µm
_042_,5.22µm
_061_,5.1µm
_039_,4.74µm
_085_,4.5µm
_084_,4.485µm
_049_,4.38µm
_021_,4.195µm
_025_,4.195µm
_018_,4.09µm
_057_,4.09µm
_094_,3.96µm
_015_,3.9µm
_023_,3.9µm
net47,3.9µm
_008_,3.72µm
_102_,3.715µm
_007_,3.62µm
_020_,3.62µm
_026_,3.48µm
_027_,3.48µm
_029_,3.48µm
_003_,3.42µm
_011_,3.42µm
_044_,3.42µm
_010_,3.3µm
_013_,3.3µm
_014_,3.3µm
_019_,3.3µm
_034_,3.24µm
_004_,3µm
_006_,3µm
_012_,3µm
_016_,3µm
_091_,2.76µm
_103_,2.7µm
_045_,2.58µm
_005_,2.52µm
_022_,2.52µm
_092_,2.52µm
_078_,2.29µm
_071_,2.28µm
_056_,2.18µm
_035_,1.8µm
_036_,1.8µm
_037_,1.8µm
_038_,1.8µm
_047_,1.8µm
_048_,1.8µm
_100_,1.8µm
_095_,1.44µm
_058_,1.38µm
_068_,0.96µm
net51,0.96µm
