Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_12_299,VSS,Metal1,149.7600,60.4800,0.000273
FILLER_12_288,VSS,Metal1,145.6860,60.9400,0.000271
FILLER_12_281,VSS,Metal1,142.3260,60.9400,0.000267
FILLER_12_274,VSS,Metal1,138.9660,60.9400,0.000267
FILLER_12_267,VSS,Metal1,135.6060,60.9400,0.000267
FILLER_12_249,VSS,Metal1,125.5200,60.4800,0.000255
FILLER_12_242,VSS,Metal1,123.6060,60.9400,0.000255
FILLER_12_235,VSS,Metal1,120.2460,60.9400,0.000250
FILLER_12_230,VSS,Metal1,116.4000,60.4800,0.000250
FILLER_12_226,VSS,Metal1,115.1880,60.8560,0.000250
FILLER_12_219,VSS,Metal1,112.5660,60.9400,0.000250
FILLER_12_214,VSS,Metal1,108.7200,60.4800,0.000032
FILLER_12_207,VSS,Metal1,106.8060,60.9400,0.000031
FILLER_12_200,VSS,Metal1,103.4460,60.9400,0.000026
FILLER_12_193,VSS,Metal1,100.0860,60.9400,0.000007
FILLER_12_186,VSS,Metal1,96.7260,60.9400,0.000012
FILLER_12_179,VSS,Metal1,93.3660,60.9400,0.000012
FILLER_12_171,VSS,Metal1,88.0800,60.4800,0.000017
FILLER_12_164,VSS,Metal1,86.1660,60.9400,0.000018
FILLER_12_157,VSS,Metal1,82.8060,60.9400,0.000019
FILLER_12_150,VSS,Metal1,79.4460,60.9400,0.000019
FILLER_12_146,VSS,Metal1,76.0800,60.4800,0.000019
FILLER_12_139,VSS,Metal1,74.1660,60.9400,0.000020
FILLER_12_133,VSS,Metal1,70.0800,60.4800,0.000020
FILLER_12_129,VSS,Metal1,68.6280,60.8560,0.000020
FILLER_12_122,VSS,Metal1,66.0060,60.9400,0.000020
FILLER_12_118,VSS,Metal1,62.6400,60.4800,0.000020
FILLER_12_114,VSS,Metal1,61.4280,60.8560,0.000020
FILLER_12_107,VSS,Metal1,58.8060,60.9400,0.000020
