2026-04-03 07:13:53 +0000: Memory Usage (424236K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/SAR_ADC_8BIT_IHP/librelane/sar_algo/runs/RUN_2026-04-03_07-12-32/57-magic-streamout/sar_algo.gds
2026-04-03 07:13:53 +0000: Memory Usage (424236K) : Ruby Version for klayout: 3.3.10
2026-04-03 07:13:53 +0000: Memory Usage (425260K) : Loading database to memory is complete.
2026-04-03 07:13:53 +0000: Memory Usage (425260K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/SAR_ADC_8BIT_IHP/librelane/sar_algo/runs/RUN_2026-04-03_07-12-32/64-klayout-drc/reports/drc.klayout.lyrdb
2026-04-03 07:13:53 +0000: Memory Usage (425260K) : Evaluate switches.
2026-04-03 07:13:53 +0000: Memory Usage (425260K) : tables selected: main
2026-04-03 07:13:53 +0000: Memory Usage (425260K) : KLayout will use 8 thread(s) in tiling mode.
2026-04-03 07:13:53 +0000: Memory Usage (425260K) : deep mode is enabled.
2026-04-03 07:13:53 +0000: Memory Usage (425260K) : FEOL enabled: true
2026-04-03 07:13:53 +0000: Memory Usage (425260K) : BEOL enabled: true
2026-04-03 07:13:53 +0000: Memory Usage (425260K) : OFFGRID enabled: true
2026-04-03 07:13:53 +0000: Memory Usage (425260K) : PIN enabled: true
2026-04-03 07:13:53 +0000: Memory Usage (425260K) : FORBIDDEN enabled: true
2026-04-03 07:13:53 +0000: Memory Usage (425260K) : RECOMMENDED enabled: false
2026-04-03 07:13:53 +0000: Memory Usage (425260K) : PreCheck DRC enabled: false
2026-04-03 07:13:53 +0000: Memory Usage (425260K) : CONNECTIVITY_RULES enabled: true.
2026-04-03 07:13:53 +0000: Memory Usage (425260K) : Read in polygons from layers.
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : activ_drw has 2690 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : activ_pin has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : activ_mask has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : activ_filler has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : activ_nofill has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : activ_opc has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : activ_iopc has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : activ_noqrc has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : biwind_drw has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : biwind_opc has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : pemwind_drw has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : gatpoly_drw has 2470 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : gatpoly_pin has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : gatpoly_filler has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : gatpoly_nofill has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : gatpoly_opc has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : gatpoly_iopc has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : gatpoly_noqrc has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : cont_drw has 19367 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : cont_opc has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : nsd_drw has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : nsd_block has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : metal1_drw has 4452 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : metal1_pin has 1794 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : metal1_mask has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426412K) : metal1_filler has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426540K) : metal1_nofill has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426540K) : metal1_slit has 0 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426796K) : metal1_text has 1752 polygons
2026-04-03 07:13:53 +0000: Memory Usage (426796K) : metal1_opc has 0 polygons
