Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,593
design__instance__area,7288.44
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.000041658520785858855
power__switching__total,0.0000136404078148189
power__leakage__total,2.79151350923712E-7
power__total,0.000055578082537977025
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.25027025604741276
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.25001551536720795
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.20709165524154624
timing__setup__ws__corner:nom_fast_1p32V_m40C,18.29284153708606
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.207092
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2504486966480923
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.25001554312278434
timing__hold__ws__corner:nom_slow_1p08V_125C,0.8312020751401185
timing__setup__ws__corner:nom_slow_1p08V_125C,18.02072853058981
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.831202
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,Infinity
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.250336786164045
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.25001551536720795
timing__hold__ws__corner:nom_typ_1p20V_25C,0.4328728054082074
timing__setup__ws__corner:nom_typ_1p20V_25C,18.19375990249577
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.432873
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25027025604741276
clock__skew__worst_setup,0.25001551536720795
timing__hold__ws,0.20709165524154624
timing__setup__ws,18.02072853058981
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.207092
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 160.0 80.0
design__core__bbox,5.76 15.12 154.08 64.26
design__io,33
design__die__area,12800
design__core__area,7288.44
design__instance__count__stdcell,194
design__instance__area__stdcell,3242.33
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.444859
design__instance__utilization__stdcell,0.444859
design__rows,13
design__rows:CoreSite,13
design__sites,4017
design__sites:CoreSite,4017
design__instance__count__class:buffer,1
design__instance__area__class:buffer,7.2576
design__instance__count__class:inverter,37
design__instance__area__class:inverter,201.398
design__instance__count__class:sequential_cell,32
design__instance__area__class:sequential_cell,1567.64
design__instance__count__class:multi_input_combinational_cell,67
design__instance__area__class:multi_input_combinational_cell,751.162
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
flow__warnings__count:PDN-0239,1
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,218.794
design__instance__displacement__mean,1.127
design__instance__displacement__max,17.22
route__wirelength__estimated,4663.24
design__violations,0
design__instance__count__class:clock_buffer,7
design__instance__area__class:clock_buffer,279.418
design__instance__count__class:timing_repair_buffer,50
design__instance__area__class:timing_repair_buffer,435.456
flow__warnings__count:CTS-0041,2
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,8
global_route__vias,1094
global_route__wirelength,7768
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,200
route__net__special,2
route__drc_errors__iter:0,36
route__wirelength__iter:0,5081
route__drc_errors__iter:1,4
route__wirelength__iter:1,5040
route__drc_errors__iter:2,1
route__wirelength__iter:2,5029
route__drc_errors__iter:3,0
route__wirelength__iter:3,5030
route__drc_errors,0
route__wirelength,5030
route__vias,1048
route__vias__singlecut,1048
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,146.425
design__instance__count__class:fill_cell,399
design__instance__area__class:fill_cell,4046.11
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,0
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_typ_1p20V_25C,1.19985
